"Unit Type Id";"Advance Id";"Score Requirement"
3;5;50
4;5;150
4;9;100
6;6;100
6;10;70
7;6;200
7;10;140
8;6;50
8;10;50
9;10;80
9;9;50
10;6;100
10;10;100
10;9;100
11;6;200
11;10;200
11;9;150
12;6;50
12;10;150
12;9;100
13;10;80
13;9;500
14;6;70
14;10;100
14;9;500
15;6;200
15;10;200
15;9;500
16;6;50
16;10;200
16;9;500
17;7;100
17;10;250
18;7;400
18;10;300
19;7;800
19;10;350
20;7;150
20;10;300
21;7;100
21;10;350
21;9;100
22;7;400
22;10;400
22;9;100
23;7;800
23;10;450
23;9;100
24;7;150
24;10;400
24;9;100
25;7;100
25;9;500
25;10;350
26;7;400
26;9;500
26;10;400
27;7;800
27;9;500
27;10;450
28;7;150
28;9;500
28;10;400
29;8;200
29;10;500
30;8;500
30;10;600
31;8;1000
31;10;700
32;8;200
32;10;550
33;8;200
33;9;100
33;10;600
34;8;500
34;9;100
34;10;700
35;8;1000
35;9;100
35;10;800
36;8;200
36;9;100
36;10;650
37;8;200
37;9;500
37;10;600
38;8;500
38;9;500
38;10;700
39;8;1000
39;9;500
39;10;800
40;8;200
40;9;500
40;10;650
42;1;50
42;10;100
43;1;100
43;10;400
44;1;200
44;10;400
45;3;50
46;3;150
47;3;200
47;5;150
48;3;300
48;10;100
49;3;300
50;3;400
51;3;500
52;3;600
52;5;350
53;3;700
53;1;400
55;9;100
56;9;400
56;10;350
57;3;800
57;1;500
58;3;700
58;1;0
