"Unit Type Id";"Resource Id";"Amount"
1;25;30
4;26;30
5;13;30
6;14;30
7;15;30
8;16;30
9;13;30
9;26;30
10;14;30
10;26;30
11;15;30
11;26;30
12;26;30
12;16;30
13;13;30
13;12;30
14;14;30
14;12;30
15;15;30
15;12;30
16;16;30
16;12;30
17;17;30
18;18;30
19;19;30
20;20;30
21;17;30
21;26;30
22;18;30
22;26;30
23;19;30
23;26;30
24;20;30
24;26;30
25;17;30
25;12;30
26;18;30
26;12;30
27;19;30
27;12;30
28;20;30
28;12;30
29;21;30
30;22;30
31;23;30
32;24;30
33;21;30
33;26;30
34;22;30
34;26;30
35;23;30
35;26;30
36;24;30
36;26;30
37;21;30
37;12;30
38;22;30
38;12;30
39;23;30
39;12;30
40;24;30
40;12;30
42;2;30
43;2;20
43;26;30
44;2;40
45;2;10
46;2;20
47;2;30
48;2;30
49;2;25
50;2;40
51;2;50
52;2;55
53;2;80
55;26;1
56;11;30
57;2;70
58;2;60
