"Graphics Id";"Resource Field Category Id"
1;12
2;18
3;26
4;8
5;6
6;29
7;19
8;20
9;6
10;6
11;8
12;8
13;6
14;6
15;8
16;8
17;10
18;10
19;10
20;10
21;9
22;21
23;11
24;24
25;9
26;9
27;9
28;9
29;21
30;9
31;9
32;9
33;9
34;9
35;9
36;9
37;9
38;9
39;9
40;29
41;28
42;28
43;28
44;28
45;28
46;28
47;28
48;28
49;28
50;28
51;28
52;28
53;28
54;28
55;28
56;29
57;28
58;28
59;28
60;28
61;1
62;17
63;1
64;1
65;25
66;27
67;1
68;1
69;4
70;4
71;4
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;4
80;4
81;4
82;4
83;4
84;4
85;7
86;1
87;1
88;1
89;22
90;1
91;13
92;1
93;3
94;1
95;1
96;1
97;2
98;12
99;12
100;12
101;30
102;12
103;12
104;12
105;30
106;12
107;12
108;12
109;16
110;16
111;16
112;16
113;16
114;16
115;16
116;16
117;16
118;14
119;14
120;14
121;14
122;14
123;14
124;15
125;15
126;15
127;15
128;15
129;30
130;5
131;5
132;5
133;30
134;5
135;5
136;5
137;30
138;5
139;5
140;5
141;30
142;30
143;5
144;5
145;30
146;30
147;5
148;5
