"Unit Type Id";"Movement Field Category Id"
1;1
1;2
1;5
1;6
2;1
2;2
2;5
2;6
3;1
3;2
3;5
3;6
4;1
4;2
4;5
4;6
5;1
5;2
5;5
5;6
6;1
6;2
6;5
6;6
7;1
7;2
7;5
7;6
8;1
8;2
8;5
8;6
9;1
9;2
9;5
9;6
10;1
10;2
10;5
10;6
11;1
11;2
11;5
11;6
12;1
12;2
12;5
12;6
13;1
13;2
13;5
13;6
14;1
14;2
14;5
14;6
15;1
15;2
15;5
15;6
16;1
16;2
16;5
16;6
17;1
17;2
17;5
17;6
18;1
18;2
18;5
18;6
19;1
19;2
19;5
19;6
20;1
20;2
20;5
20;6
21;1
21;2
21;5
21;6
22;1
22;2
22;5
22;6
23;1
23;2
23;5
23;6
24;1
24;2
24;5
24;6
25;1
25;2
25;5
25;6
26;1
26;2
26;5
26;6
27;1
27;2
27;5
27;6
28;1
28;2
28;5
28;6
29;1
29;2
29;5
29;6
30;1
30;2
30;5
30;6
31;1
31;2
31;5
31;6
32;1
32;2
32;5
32;6
33;1
33;2
33;5
33;6
34;1
34;2
34;5
34;6
35;1
35;2
35;5
35;6
36;1
36;2
36;5
36;6
37;1
37;2
37;5
37;6
38;1
38;2
38;5
38;6
39;1
39;2
39;5
39;6
40;1
40;2
40;5
40;6
41;1
41;2
41;5
41;6
42;1
42;2
43;1
43;2
44;1
44;2
45;2
46;2
46;3
47;3
47;4
48;3
48;4
49;3
49;4
50;3
50;4
51;3
51;4
52;3
52;4
53;3
53;4
54;1
54;2
54;5
54;6
55;1
55;2
55;5
55;6
56;1
56;2
56;5
56;6
57;3
57;4
58;3
58;4
